Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://55.img.avito.st/208x156/10660031255.jpg"">","BMW X5, 2008","202 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 150 000 ₽,-,"Курганская область, Курган",https://www.avito.ru/kurgan/avtomobili/bmw_x5_2008_2093435350
"<img src=""https://23.img.avito.st/208x156/10633865323.jpg"">","BMW X5, 2007","210 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 020 000 ₽,-,"Свердловская область, Первоуральск",https://www.avito.ru/pervouralsk/avtomobili/bmw_x5_2007_2078600640
"<img src=""https://82.img.avito.st/208x156/10776175682.jpg"">","BMW X5, 2005","350 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",875 000 ₽,-,"Республика Крым, Симферопольский р-н, Мирновское сельское поселение, с. Мирное",https://www.avito.ru/mirnoe/avtomobili/bmw_x5_2005_1850037810
"<img src=""https://50.img.avito.st/208x156/10466505250.jpg"">","BMW X5, 2007","300 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Кабардино-Балкарская Республика, Нальчик",https://www.avito.ru/nalchik/avtomobili/bmw_x5_2007_2089379700
"<img src=""https://20.img.avito.st/208x156/10657697320.jpg"">","BMW X5, 2019","35 109 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 290 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2019_2109492973
"<img src=""https://01.img.avito.st/208x156/9812213701.jpg"">","BMW X5, 2005","225 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",799 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2005_2034886916
"<img src=""https://05.img.avito.st/208x156/10413737705.jpg"">","BMW X5, 2004","199 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Приморский край, Артёмовский г.о., Артём",https://www.avito.ru/artem/avtomobili/bmw_x5_2004_2104346481
"<img src=""https://74.img.avito.st/208x156/10412164174.jpg"">","BMW X5, 2005","167 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",699 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2005_2097504326
"<img src=""https://12.img.avito.st/208x156/10587716112.jpg"">","BMW X5, 2018","80 316 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 508 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2018_2074124994
"<img src=""https://43.img.avito.st/208x156/10594795943.jpg"">","BMW X5, 2008","218 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",830 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2008_2108822827
"<img src=""https://89.img.avito.st/208x156/10158799189.jpg"">","BMW X5, 2008","249 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 200 000 ₽,-,"Белгородская область, Белгород",https://www.avito.ru/belgorod/avtomobili/bmw_x5_2008_2049177681
"<img src=""https://70.img.avito.st/208x156/9966569570.jpg"">","BMW X5, 2014","103 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 700 000 ₽,-,"Тульская область, Тула",https://www.avito.ru/tula/avtomobili/bmw_x5_2014_2024050694
"<img src=""https://76.img.avito.st/208x156/10696697976.jpg"">","BMW X5, 2014","95 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 920 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2014_2091214082
"<img src=""https://52.img.avito.st/208x156/10610098752.jpg"">","BMW X5, 2009","167 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",875 599 ₽,-,"Республика Северная Осетия — Алания, Пригородный р-н, с. Ногир",https://www.avito.ru/nogir/avtomobili/bmw_x5_2009_2097204412
"<img src=""https://75.img.avito.st/208x156/9645291475.jpg"">","BMW X5, 2002","315 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",500 000 ₽,-,"Пензенская область, Пенза",https://www.avito.ru/penza/avtomobili/bmw_x5_2002_1996129131
"<img src=""https://66.img.avito.st/208x156/10632429066.jpg"">","BMW X5, 2003","330 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Волгоградская область, Волгоград",https://www.avito.ru/volgograd/avtomobili/bmw_x5_2003_2091981561
"<img src=""https://94.img.avito.st/208x156/10034537394.jpg"">","BMW X5, 2013","257 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 750 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2021238347
"<img src=""https://82.img.avito.st/208x156/10384866582.jpg"">","BMW X5, 2013","123 785 км, 3.0 AT (381 л.с.), внедорожник, полный, дизель",1 970 000 ₽,-,"Оренбургская область, Медногорск",https://www.avito.ru/mednogorsk/avtomobili/bmw_x5_2013_2082466690
"<img src=""https://61.img.avito.st/208x156/10690369961.jpg"">","BMW X5, 2008","254 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2087517721
"<img src=""https://95.img.avito.st/208x156/9127319495.jpg"">","BMW X5, 2003","240 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",600 000 ₽,-,"Костромская область, Кострома",https://www.avito.ru/kostroma/avtomobili/bmw_x5_2003_1985067185
"<img src=""https://50.img.avito.st/208x156/5886021250.jpg"">","BMW X5, 2005","220 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",645 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2005_1788128218
"<img src=""https://64.img.avito.st/208x156/5787729664.jpg"">","BMW X5, 2005","159 580 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",590 000 ₽,-,"Астраханская область, Астрахань",https://www.avito.ru/astrahan/avtomobili/bmw_x5_2005_1765718269
"<img src=""https://93.img.avito.st/208x156/5351831493.jpg"">","BMW X5, 2007","230 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Ивановская область, Кинешемский р-н, Наволокское городское поселение, Наволоки",https://www.avito.ru/navoloki/avtomobili/bmw_x5_2007_1392686710
"<img src=""https://81.img.avito.st/208x156/10625457481.jpg"">","BMW X5, 2003","235 000 км, 4.4 AT (329 л.с.), внедорожник, полный, бензин",750 000 ₽,-,"Республика Дагестан, г.о. Махачкала, пос. городского типа Тарки",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2003_2108502664
"<img src=""https://11.img.avito.st/208x156/10211973211.jpg"">","BMW X5, 2002","348 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",480 000 ₽,-,"Республика Татарстан, Нижнекамский р-н, Нижнекамск",https://www.avito.ru/nizhnekamsk/avtomobili/bmw_x5_2002_2076711075
"<img src=""https://72.img.avito.st/208x156/10645329772.jpg"">","BMW X5, 2011","232 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 300 000 ₽,-,"Воронежская область, Воронеж",https://www.avito.ru/voronezh/avtomobili/bmw_x5_2011_2108723978
"<img src=""https://98.img.avito.st/208x156/10493105598.jpg"">","BMW X5, 2010","290 000 км, 3.0 AT (265 л.с.), внедорожник, полный, дизель",1 470 000 ₽,-,"Кабардино-Балкарская Республика, Нальчик",https://www.avito.ru/nalchik/avtomobili/bmw_x5_2010_2091462136
"<img src=""https://79.img.avito.st/208x156/5092875179.jpg"">","BMW X5, 2007","180 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Саратовская область, Энгельсский р-н, Энгельс",https://www.avito.ru/engels/avtomobili/bmw_x5_2007_1340126629
"<img src=""https://62.img.avito.st/208x156/10456162762.jpg"">","BMW X5, 2011","160 500 км, 3.0 AT (306 л.с.), внедорожник, полный, дизель",1 400 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2011_2088502052
"<img src=""https://48.img.avito.st/208x156/8864590948.jpg"">","BMW X5, 2003","332 000 км, 2.9 AT (184 л.с.), внедорожник, полный, дизель",549 900 ₽,-,"Оренбургская область, Оренбург",https://www.avito.ru/orenburg/avtomobili/bmw_x5_2003_1926396203
"<img src=""https://59.img.avito.st/208x156/10449577559.jpg"">","BMW X5, 2005","198 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",800 000 ₽,-,"Республика Крым, Феодосия",https://www.avito.ru/feodosiya/avtomobili/bmw_x5_2005_2098372142
"<img src=""https://19.img.avito.st/208x156/10701252919.jpg"">","BMW X5, 2009","204 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 440 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2009_2100343091
"<img src=""https://58.img.avito.st/208x156/10636467658.jpg"">","BMW X5, 2004","232 805 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",495 000 ₽,-,"Ярославская область, Ярославль",https://www.avito.ru/yaroslavl/avtomobili/bmw_x5_2004_2107420088
"<img src=""https://65.img.avito.st/208x156/10085927765.jpg"">","BMW X5, 2016","130 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 600 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2016_2047785757
"<img src=""https://51.img.avito.st/208x156/10513932551.jpg"">","BMW X5, 2015","115 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 700 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2015_2094780873
"<img src=""https://25.img.avito.st/208x156/8561332725.jpg"">","BMW X5, 2011","167 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",2 200 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2011_1945384173
"<img src=""https://91.img.avito.st/208x156/10738151591.jpg"">","BMW X5, 2016","42 660 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 640 300 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2016_2083573750
"<img src=""https://26.img.avito.st/208x156/6345977526.jpg"">","BMW X5, 2008","265 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 250 000 ₽,-,"Белгородская область, Белгород",https://www.avito.ru/belgorod/avtomobili/bmw_x5_2008_1844159246
"<img src=""https://81.img.avito.st/208x156/10317613481.jpg"">","BMW X5, 2010","140 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2071840409
"<img src=""https://68.img.avito.st/208x156/10470427468.jpg"">","BMW X5, 2014","95 518 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 720 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2014_2089582055
"<img src=""https://55.img.avito.st/208x156/10692421755.jpg"">","BMW X5, 2010","180 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 299 990 ₽,-,"Тюменская область, Сургут",https://www.avito.ru/surgut/avtomobili/bmw_x5_2010_2084928812
"<img src=""https://46.img.avito.st/208x156/5378251746.jpg"">","BMW X5, 2007","226 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",970 000 ₽,-,"Краснодарский край, Новороссийск",https://www.avito.ru/novorossiysk/avtomobili/bmw_x5_2007_1578391649
"<img src=""https://40.img.avito.st/208x156/10097273040.jpg"">","BMW X5, 2000","357 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Иркутская область, Усть-Кутский р-н, Усть-Кут",https://www.avito.ru/ust-kut/avtomobili/bmw_x5_2000_2062571576
"<img src=""https://24.img.avito.st/208x156/10738096924.jpg"">","BMW X5, 2010","170 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 470 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2095555716
"<img src=""https://04.img.avito.st/208x156/10594845704.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 7 846 800 ₽,8 746 800 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084231869
"<img src=""https://10.img.avito.st/208x156/10629095510.jpg"">","BMW X5, 2020","3.0 AT (340 л.с.), внедорожник, полный, бензин",7 500 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2020_2104386198
"<img src=""https://09.img.avito.st/208x156/10219239409.jpg"">","BMW X5, 2004","347 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",495 000 ₽,-,"Мурманская область, Мурманск",https://www.avito.ru/murmansk/avtomobili/bmw_x5_2004_2051330919
"<img src=""https://16.img.avito.st/208x156/7989292816.jpg"">","BMW X5, 2013","52 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",2 180 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2013_1832025995
"<img src=""https://91.img.avito.st/208x156/10254312891.jpg"">","BMW X5, 2003","343 343 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",580 000 ₽,-,"Ростовская область, Батайск",https://www.avito.ru/bataysk/avtomobili/bmw_x5_2003_2070708096
"<img src=""https://88.img.avito.st/208x156/10797910688.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138297973
"<img src=""https://62.img.avito.st/208x156/10713475362.jpg"">","BMW X5, 2013","110 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 620 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2013_2095225979
"<img src=""https://78.img.avito.st/208x156/10835845978.jpg"">","BMW X5, 2013","120 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 800 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2013_2129481748
"<img src=""https://05.img.avito.st/208x156/10479623305.jpg"">","BMW X5, 2004","490 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",580 000 ₽,-,"Нижегородская область, Дзержинск",https://www.avito.ru/dzerzhinsk/avtomobili/bmw_x5_2004_2083485783
"<img src=""https://52.img.avito.st/208x156/8371249552.jpg"">","BMW X5, 2017","76 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",4 090 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2017_1903996943
"<img src=""https://22.img.avito.st/208x156/10666904322.jpg"">","BMW X5, 2004","319 697 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",720 000 ₽,-,"Мурманская область, Мончегорск",https://www.avito.ru/monchegorsk/avtomobili/bmw_x5_2004_2086489109
"<img src=""https://05.img.avito.st/208x156/10655555105.jpg"">","BMW X5, 2018","38 100 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 800 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2018_2094730328
"<img src=""https://72.img.avito.st/208x156/10414413272.jpg"">","BMW X5, 2012","108 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",1 330 000 ₽,-,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2012_2054700191
"<img src=""https://56.img.avito.st/208x156/10669587356.jpg"">","BMW X5, 2001","398 295 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",460 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2001_2090971970
"<img src=""https://59.img.avito.st/208x156/10299738959.jpg"">","BMW X5, 2019","55 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 980 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2019_2054104991
"<img src=""https://88.img.avito.st/208x156/10470069388.jpg"">","BMW X5, 2006","195 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",870 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2006_2102182783
"<img src=""https://04.img.avito.st/208x156/9055072604.jpg"">","BMW X5, 2007","250 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 100 000 ₽,-,"Кабардино-Балкарская Республика, Нальчик",https://www.avito.ru/nalchik/avtomobili/bmw_x5_2007_1961675793
"<img src=""https://12.img.avito.st/208x156/8417046412.jpg"">","BMW X5, 2005","263 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",690 000 ₽,-,"Республика Башкортостан, Уфа",https://www.avito.ru/ufa/avtomobili/bmw_x5_2005_1902272715
"<img src=""https://85.img.avito.st/208x156/10450289585.jpg"">","BMW X5, 2007","209 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",897 000 ₽,-,"Оренбургская область, Бузулук",https://www.avito.ru/buzuluk/avtomobili/bmw_x5_2007_2101504814
"<img src=""https://23.img.avito.st/208x156/10666217923.jpg"">","BMW X5, 2004","320 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",500 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2004_2113413844
"<img src=""https://89.img.avito.st/208x156/10649031889.jpg"">","BMW X5, 2015","117 000 км, 2.0 AT (218 л.с.), внедорожник, полный, дизель",2 995 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2015_2086577556
"<img src=""https://57.img.avito.st/208x156/10676137257.jpg"">","BMW X5, 2013","85 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 798 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2013_2101646391
"<img src=""https://54.img.avito.st/208x156/10583052654.jpg"">","BMW X5, 2013","126 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 850 000 ₽,-,"Самарская область, Самара",https://www.avito.ru/samara/avtomobili/bmw_x5_2013_2098355257
"<img src=""https://27.img.avito.st/208x156/9675882027.jpg"">","BMW X5, 2016","55 000 км, 3.0 AT (381 л.с.), внедорожник, полный, дизель",4 600 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2016_1990350867
"<img src=""https://72.img.avito.st/208x156/10753422072.jpg"">","BMW X5, 2018","41 597 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",5 125 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2018_2055247161
"<img src=""https://40.img.avito.st/208x156/9219707640.jpg"">","BMW X5, 2015","94 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 900 000 ₽,-,"Республика Мордовия, Саранск",https://www.avito.ru/saransk/avtomobili/bmw_x5_2015_1990195596
"<img src=""https://00.img.avito.st/208x156/5593344000.jpg"">","BMW X5, 2013","149 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 899 999 ₽,-,"Республика Татарстан, Тукаевский р-н, пос. Новый",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2013_907840107
"<img src=""https://73.img.avito.st/208x156/5958553773.jpg"">","BMW X5, 2007","240 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Тюменская область, Новый Уренгой",https://www.avito.ru/novyy_urengoy/avtomobili/bmw_x5_2007_1770133862
"<img src=""https://45.img.avito.st/208x156/10752070945.jpg"">","BMW X5, 2003","296 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",530 000 ₽,-,"Тульская область, Тула",https://www.avito.ru/tula/avtomobili/bmw_x5_2003_2084815977
"<img src=""https://55.img.avito.st/208x156/10661162755.jpg"">","BMW X5, 2011","127 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",1 500 000 ₽,-,"Ставропольский край, Кисловодск",https://www.avito.ru/kislovodsk/avtomobili/bmw_x5_2011_2106601126
"<img src=""https://61.img.avito.st/208x156/8882232661.jpg"">","BMW X5, 2004","250 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",650 000 ₽,-,"Курганская область, Курган",https://www.avito.ru/kurgan/avtomobili/bmw_x5_2004_1974807387
"<img src=""https://57.img.avito.st/208x156/9915915157.jpg"">","BMW X5, 2015","108 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 600 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2015_2030070401
"<img src=""https://04.img.avito.st/208x156/10719389204.jpg"">","BMW X5, 2007","243 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 250 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2094184025
"<img src=""https://82.img.avito.st/208x156/10668588682.jpg"">","BMW X5, 2003","315 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",495 000 ₽,-,"Московская область, Дмитровский г.о., д. Ольявидово",https://www.avito.ru/verbilki/avtomobili/bmw_x5_2003_2039095833
"<img src=""https://29.img.avito.st/208x156/10062146429.jpg"">","BMW X5, 2004","277 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",700 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2004_2050262792
"<img src=""https://32.img.avito.st/208x156/10620522332.jpg"">","BMW X5, 2004","260 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",750 000 ₽,-,"Республика Крым, Керчь",https://www.avito.ru/kerch/avtomobili/bmw_x5_2004_2005933162
"<img src=""https://73.img.avito.st/208x156/10279809073.jpg"">","BMW X5, 2008","163 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",1 100 000 ₽,-,Самарская область,https://www.avito.ru/samarskaya_oblast_krasnyy_yar/avtomobili/bmw_x5_2008_2053213061
"<img src=""https://12.img.avito.st/208x156/10040174912.jpg"">","BMW X5, 2010","305 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Республика Башкортостан, Салават",https://www.avito.ru/salavat/avtomobili/bmw_x5_2010_1639039227
"<img src=""https://59.img.avito.st/208x156/1577736659.jpg"">","BMW X5, 2005","170 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",800 000 ₽,-,"Тюменская область, Тюмень",https://www.avito.ru/tyumen/avtomobili/bmw_x5_2005_550313483
"<img src=""https://00.img.avito.st/208x156/8532247300.jpg"">","BMW X5, 2003","204 000 км, 4.6 AT (347 л.с.), внедорожник, полный, бензин",495 000 ₽,-,"Орловская область, Орловский р-н, пос. городского типа Знаменка",https://www.avito.ru/orlovskaya_oblast_znamenka/avtomobili/bmw_x5_2003_1894564648
"<img src=""https://90.img.avito.st/208x156/10429017790.jpg"">","BMW X5, 2008","270 600 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 000 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2008_2083198905
"<img src=""https://98.img.avito.st/208x156/10688727898.jpg"">","BMW X5, 2007","250 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 295 000 ₽,-,"Калининградская область, Калининград",https://www.avito.ru/kaliningrad/avtomobili/bmw_x5_2007_2089098061
"<img src=""https://21.img.avito.st/208x156/9923091921.jpg"">","BMW X5, 2003","278 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",650 000 ₽,-,"Орловская область, Орёл",https://www.avito.ru/orel/avtomobili/bmw_x5_2003_2034212291
"<img src=""https://93.img.avito.st/208x156/8269787593.jpg"">","BMW X5, 2011","154 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 200 000 ₽,-,"Краснодарский край, г.о. Краснодар, станица Старокорсунская",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2011_1900611787
"<img src=""https://40.img.avito.st/208x156/5128805540.jpg"">","BMW X5, 2007","190 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2007_1141569458
"<img src=""https://80.img.avito.st/208x156/10618723480.jpg"">","BMW X5, 2008","280 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 150 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2100958098
"<img src=""https://11.img.avito.st/208x156/10721943011.jpg"">","BMW X5, 2010","259 792 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 599 000 ₽,-,"Калининградская область, Калининград",https://www.avito.ru/kaliningrad/avtomobili/bmw_x5_2010_2105951385
"<img src=""https://24.img.avito.st/208x156/10737914324.jpg"">","BMW X5, 2009","221 500 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",898 000 ₽,-,"Ленинградская область, Всеволожский р-н, Заневское городское поселение, Кудрово",https://www.avito.ru/kudrovo/avtomobili/bmw_x5_2009_2093543456
"<img src=""https://02.img.avito.st/208x156/10456865302.jpg"">","BMW X5, 2016","250 000 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",2 750 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2016_2088671418
"<img src=""https://03.img.avito.st/208x156/10395065803.jpg"">","BMW X5, 2014","98 908 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 550 000 ₽,-,"Самарская область, Самара",https://www.avito.ru/samara/avtomobili/bmw_x5_2014_2083268896
"<img src=""https://13.img.avito.st/208x156/10279915713.jpg"">","BMW X5, 2018","64 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",3 410 000 ₽,-,"Иркутская область, Иркутск",https://www.avito.ru/irkutsk/avtomobili/bmw_x5_2018_2057512146
"<img src=""https://77.img.avito.st/208x156/10658170477.jpg"">","BMW X5, 2004","130 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",650 000 ₽,-,"Калининградская область, Советский г.о., Советск",https://www.avito.ru/kaliningradskaya_oblast_sovetsk/avtomobili/bmw_x5_2004_2128973598
"<img src=""https://80.img.avito.st/208x156/10057793180.jpg"">","BMW X5, 2017","85 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",3 550 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2017_2037786686
"<img src=""https://69.img.avito.st/208x156/10656564569.jpg"">","BMW X5, 2011","154 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 587 000 ₽,-,"Омская область, Омск",https://www.avito.ru/omsk/avtomobili/bmw_x5_2011_2129597547
"<img src=""https://56.img.avito.st/208x156/10603515556.jpg"">","BMW X5, 2009","100 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2009_2084882748
"<img src=""https://58.img.avito.st/208x156/10733174858.jpg"">","BMW X5, 2016","64 500 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",4 195 000 ₽,-,"Республика Карелия, Петрозаводский г.о., Петрозаводск",https://www.avito.ru/petrozavodsk/avtomobili/bmw_x5_2016_2111114427
